full_text,created_at,id
@cellbit @Quackity Eu retiro quase tudo que eu disse de ruim sobre você ate hoje,2023-04-29 00:50:43+00:00,1652113145907888130
@cellbit @Quackity OI,2023-04-29 00:50:38+00:00,1652113127280869379
@cellbit @Quackity CELLVIT EU NÃO TO ACREDINTAO,2023-04-29 00:50:29+00:00,1652113086646501378
@cellbit @Quackity impossível,2023-04-29 00:50:10+00:00,1652113009232293888
@cellbit @Quackity foda dms lek,2023-04-29 00:50:09+00:00,1652113002366214144
@cellbit @Quackity ooooo magaaaah,2023-04-29 00:49:39+00:00,1652112878537678849
@cellbit @Quackity Celbooo mdssss,2023-04-29 00:49:19+00:00,1652112795284930560
@cellbit @Quackity oi,2023-04-29 00:49:05+00:00,1652112735327383553
@cellbit oie,2023-04-29 00:48:16+00:00,1652112529529753601
@cellbit @Quackity todos saberão do seu crime cellbit ... https://t.co/lEZ7c3RQPL,2023-04-29 00:47:55+00:00,1652112440417562628
@cellbit @Quackity CABELUDO FILHO DA PUTAAAAAA,2023-04-29 00:47:44+00:00,1652112395488096259
@cellbit @Quackity oi,2023-04-29 00:47:30+00:00,1652112335991894017
@cellbit @Quackity SEU FILHA DA PUTFIFJSK,2023-04-29 00:46:19+00:00,1652112039240769538
@cellbit @Quackity OIII,2023-04-29 00:45:23+00:00,1652111803457863682
@cellbit @Quackity CANALJA,2023-04-29 00:45:18+00:00,1652111782423547904
@cellbit @Quackity OI ???? OI???? OIIIIII,2023-04-29 00:45:13+00:00,1652111762920034304
@cellbit @Quackity MALDITO,2023-04-29 00:44:42+00:00,1652111631835381762
@cellbit @Quackity OI,2023-04-29 00:44:28+00:00,1652111572045557762
@cellbit @Quackity OI MEU PAU CELLBIT EU TO TENDO UM ATAQUE AQUI,2023-04-29 00:44:13+00:00,1652111510552887297
@cellbit @Quackity CARA,2023-04-29 00:44:07+00:00,1652111483252137987
@cellbit @Quackity cellbo mds,2023-04-29 00:44:03+00:00,1652111467057934338
"@cellbit @Quackity estou a chorar, sabia que ias estar lá, mas mesmo assim a notícia atingiu-me 😞",2023-04-29 00:43:54+00:00,1652111428805861376
@cellbit @Quackity OIIIIII,2023-04-29 00:43:35+00:00,1652111351022600192
@cellbit @Quackity oi cellbit oi,2023-04-29 00:43:03+00:00,1652111218155433986
@cellbit @Quackity AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,2023-04-29 00:42:52+00:00,1652111168859668482
@cellbit @Quackity RAFAEL LANGE SEU CANALHA,2023-04-29 00:42:41+00:00,1652111126203604993
@cellbit @Quackity LESGO CELLBO POHA (e o RPG?) https://t.co/RoyVLnhCqL,2023-04-29 00:42:32+00:00,1652111086856880128
@cellbit @Quackity 🥹,2023-04-29 00:42:11+00:00,1652111000361992194
@cellbit @Quackity SEU MALDITO,2023-04-29 00:42:00+00:00,1652110954614738944
@cellbit @Quackity OI Cellbit,2023-04-29 00:41:59+00:00,1652110947912122369
@cellbit @Quackity oi,2023-04-29 00:41:44+00:00,1652110887396753411
@cellbit @Quackity WELCOME TO THE QSMP,2023-04-29 00:41:28+00:00,1652110818002055170
@cellbit @Quackity TO ME TRWMENDO,2023-04-29 00:41:22+00:00,1652110792420933638
@cellbit @Quackity cellbo queremos texture pack de ordem paranormal paizinho!!!!!,2023-04-29 00:41:13+00:00,1652110755137835008
@cellbit @Quackity @mateus__272  AMIGO EU TO CHORANDO E NAO IRONICAMENTE AMIGOOOO,2023-04-29 00:40:56+00:00,1652110685004873728
@cellbit @Quackity OI OI OI OIIIIIIII CADE O RPG CWLLBIT XADE,2023-04-29 00:40:44+00:00,1652110633993641986
